circBA9.3
circPVT1
ANRIL
BCAR4
CASC11
CCAT1
CRNDE
CUDR
GAS5
GIHCG
H19
HOTAIR
HULC
LINP1
LOC285194
LUCAT1
Lnc-VLDLR
MACC1-AS1
MALAT1
MEG3
MRUL
NEAT1
PVT1
ROR1-AS1
SLC25A25-AS1
SNHG5
TUG1
UCA1
XIST
XLOC_006753
linc-VLDLR
Let-7
Let-7a
hsa-1274A
let-7a
let-7b
let-7c
let-7d
let-7e
let-7f
let-7f-1*
let-7g
let-7i
miR-1
miR-100
miR-100-5p
miR-101
miR-103
miR-105
miR-106a
miR-106b
miR-106b-25
miR-106~25
miR-107
miR-10a
miR-10a 
miR-10a*
miR-10b
miR-1183
miR-1202
miR-1207
miR-122
miR-1226
miR-1228
miR-1228*
miR-1229-5p
miR-1233
miR-1234
miR-1236
miR-1237
miR-124
miR-1246
miR-1247
miR-1256
miR-1258
miR-125a
miR-125b
miR-125b-5p
miR-126
miR-126*
miR-1260
miR-1260b
miR-1264
miR-1265
miR-1268
miR-127
miR-1273g
miR-1275
miR-1277
miR-128
miR-128-2
miR-1280
miR-1285
miR-1288
miR-128a
miR-129
miR-129*
miR-1290
miR-1293
miR-1297
miR-1299
miR-130
miR-1307
miR-130a
miR-130a-3p
miR-130b
miR-132
miR-133a
miR-133b
miR-134
miR-1343
miR-135a
miR-135b
miR-136
miR-137
miR-138
miR-138-1*
miR-139
miR-140
miR-140-3p
miR-141
miR-141*
miR-141-3p
miR-142
miR-143
miR-143*
miR-144
miR-144-3p
miR-145
miR-1468
miR-1469
miR-146a
miR-146b
miR-146b-5p
miR-148a
miR-148b
miR-149
miR-149*
miR-150
miR-151
miR-152
miR-153
miR-154*
miR-155
miR-155-5p
miR-15a
miR-15a*
miR-15b
miR-15b*
miR-16
miR-17
miR-17*
miR-17-5p
miR-17-92
miR-181
miR-181a
miR-181a*
miR-181b
miR-181c
miR-181d
miR-182
miR-182*
miR-1825
miR-1826
miR-183
miR-184
miR-185
miR-186
miR-186*
miR-187
miR-187*
miR-188
miR-18a
miR-18a*
miR-18b
miR-19
miR-190
miR-1908
miR-191
miR-191*
miR-1913
miR-1914*
miR-1915
miR-192
miR-192*
miR-193a
miR-193a-3p
miR-193b
miR-193b*
miR-194
miR-195
miR-196a
miR-196a-5p
miR-196b
miR-197
miR-197-3p
miR-1973
miR-1976
miR-198
miR-199a
miR-199a-3p
miR-199a-5p
miR-199b
miR-199b*
miR-19a
miR-19b
miR-19b-1*
miR-200
miR-200a
miR-200b
miR-200c
miR-200c*
miR-202
miR-203
miR-204
miR-204-5p
miR-205
miR-206
